,Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
1,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,8268.0
2,Car,4.0,1.0,Petrol,1769.0
3,Motorcycle 125cc and under,10.0,1.0,Petrol,85.0
5,Car,16.0,1.0,Petrol,5343.0
6,Car,16.0,1.0,Petrol,5343.0
7,Car,13.0,1.0,Petrol,1998.0
9,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
10,Car,2.0,1.0,Petrol,698.0
11,Motorcycle over 500cc,2.0,1.0,Petrol,1171.0
12,Motorcycle over 500cc,2.0,1.0,Petrol,1171.0
14,Motorcycle over 500cc,1.0,1.0,Petrol,599.0
15,Motorcycle 125cc and under,4.0,1.0,Petrol,120.0
18,Motorcycle over 500cc,4.0,1.0,Petrol,645.0
19,Motorcycle 125cc and under,3.0,1.0,Petrol,124.0
22,Motorcycle over 125cc and up to 500cc,1.0,1.0,Petrol,244.0
23,Motorcycle 125cc and under,8.0,1.0,Petrol,124.0
24,Motorcycle 125cc and under,8.0,1.0,Petrol,124.0
25,Car,9.0,1.0,Petrol,1985.0
26,Car,9.0,1.0,Petrol,1597.0
27,Car,9.0,1.0,Petrol,1597.0
28,Motorcycle 125cc and under,4.0,1.0,Petrol,100.0
29,Car,3.0,1.0,Petrol,1595.0
30,Motorcycle over 500cc,3.0,1.0,Petrol,599.0
31,Car,3.0,1.0,Petrol,1598.0
32,Taxi/Private hire car,3.0,1.0,Heavy oil,2664.0
33,Motorcycle over 500cc,1.0,1.0,Petrol,599.0
35,Car,10.0,1.0,Petrol,1994.0
37,Motorcycle over 500cc,7.0,1.0,Petrol,599.0
41,Car,8.0,1.0,Petrol,1998.0
42,Car,4.0,1.0,Petrol,1124.0
43,Car,9.0,1.0,Petrol,1495.0
44,Motorcycle 125cc and under,7.0,1.0,Petrol,85.0
45,Motorcycle 125cc and under,7.0,1.0,Petrol,85.0
46,Car,8.0,1.0,Petrol,1998.0
47,Car,9.0,1.0,Petrol,2799.0
48,Motorcycle 125cc and under,2.0,1.0,Petrol,125.0
49,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
50,Taxi/Private hire car,6.0,1.0,Heavy oil,2664.0
52,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
56,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
57,Motorcycle 50cc and under,3.0,1.0,Petrol,49.0
58,Motorcycle 50cc and under,2.0,1.0,Petrol,49.0
60,Car,11.0,1.0,Petrol,1997.0
61,Car,11.0,1.0,Petrol,1997.0
62,Car,3.0,1.0,Petrol,1242.0
63,Car,3.0,1.0,Petrol,1242.0
65,Car,2.0,1.0,Heavy oil,1997.0
66,Motorcycle 50cc and under,5.0,1.0,Petrol,49.0
68,Car,1.0,1.0,Petrol,3246.0
69,Car,2.0,1.0,Petrol,3950.0
71,Car,5.0,1.0,Heavy oil,1900.0
72,Car,5.0,1.0,Petrol,3199.0
73,Motorcycle over 125cc and up to 500cc,11.0,1.0,Petrol,399.0
74,Car,1.0,1.0,Petrol,1360.0
76,Motorcycle over 500cc,3.0,1.0,Petrol,988.0
77,Car,15.0,1.0,Petrol,1985.0
78,Car,12.0,1.0,Petrol,954.0
81,Van / Goods 3.5 tonnes mgw or under,2.0,1.0,Heavy oil,1686.0
82,Motorcycle 125cc and under,5.0,1.0,Petrol,124.0
83,Motorcycle 125cc and under,5.0,1.0,Petrol,124.0
85,Car,8.0,1.0,Petrol,1332.0
88,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,8268.0
90,Car,12.0,1.0,Petrol,1781.0
92,Motorcycle 50cc and under,1.0,1.0,Petrol,49.0
93,Car,3.0,1.0,Petrol,1242.0
94,Car,12.0,1.0,Petrol,998.0
99,Motorcycle over 500cc,3.0,1.0,Petrol,618.0
101,Motorcycle 50cc and under,3.0,1.0,Petrol,49.0
106,Motorcycle over 500cc,8.0,1.0,Petrol,1137.0
107,Car,6.0,1.0,Petrol,1598.0
110,Motorcycle 125cc and under,6.0,1.0,Petrol,124.0
114,Motorcycle 125cc and under,9.0,1.0,Petrol,124.0
116,Motorcycle 125cc and under,10.0,1.0,Petrol,124.0
117,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
120,Car,6.0,1.0,Petrol,3199.0
122,Car,10.0,1.0,Petrol,1108.0
123,Car,1.0,1.0,Petrol,1600.0
124,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
125,Car,7.0,1.0,Petrol,1970.0
126,Car,9.0,1.0,Heavy oil,1905.0
129,Motorcycle over 500cc,2.0,1.0,Petrol,1298.0
130,Motorcycle over 500cc,2.0,1.0,Petrol,599.0
131,Van / Goods 3.5 tonnes mgw or under,3.0,1.0,Heavy oil,2402.0
132,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
135,Car,1.0,1.0,Heavy oil,1998.0
136,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
137,Motorcycle 125cc and under,4.0,1.0,Petrol,125.0
138,Car,16.0,1.0,Petrol,2962.0
141,Car,6.0,1.0,Petrol,1799.0
142,Car,14.0,1.0,Petrol,1997.0
143,Motorcycle 125cc and under,4.0,1.0,Petrol,124.0
144,Taxi/Private hire car,4.0,1.0,Heavy oil,2664.0
146,Motorcycle over 500cc,9.0,1.0,Petrol,937.0
149,Motorcycle over 500cc,2.0,1.0,Petrol,599.0
151,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,7300.0
152,Bus or coach (17 or more pass seats),39.0,1.0,Heavy oil,-1.0
153,Car,7.0,1.0,Petrol,2438.0
154,Car,1.0,1.0,Heavy oil,1997.0
158,Taxi/Private hire car,7.0,1.0,Heavy oil,2664.0
160,Motorcycle over 500cc,1.0,1.0,Petrol,1130.0
162,Car,11.0,1.0,Petrol,1596.0
164,Motorcycle over 500cc,9.0,1.0,Petrol,599.0
165,Taxi/Private hire car,5.0,1.0,Heavy oil,2664.0
166,Taxi/Private hire car,14.0,1.0,Heavy oil,2664.0
167,Car,16.0,1.0,Petrol,1235.0
170,Motorcycle 125cc and under,6.0,1.0,Petrol,124.0
171,Motorcycle over 500cc,4.0,1.0,Petrol,599.0
172,Motorcycle 125cc and under,3.0,1.0,Petrol,125.0
174,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,7300.0
175,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,7300.0
178,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
180,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
181,Car,9.0,1.0,Petrol,1747.0
182,Car,14.0,1.0,Petrol,1124.0
183,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,7300.0
184,Motorcycle 50cc and under,3.0,1.0,Petrol,50.0
186,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,4250.0
189,Motorcycle over 500cc,10.0,1.0,Petrol,1084.0
190,Motorcycle over 500cc,1.0,1.0,Petrol,1171.0
191,Car,1.0,1.0,Petrol,2494.0
192,Bus or coach (17 or more pass seats),5.0,1.0,Heavy oil,8300.0
197,Van / Goods 3.5 tonnes mgw or under,1.0,1.0,Heavy oil,1997.0
198,Motorcycle over 500cc,1.0,1.0,Petrol,599.0
201,Car,4.0,1.0,Petrol,1596.0
202,Motorcycle over 500cc,1.0,1.0,Petrol,984.0
203,Car,5.0,1.0,Petrol,973.0
204,Motorcycle over 500cc,1.0,1.0,Petrol,955.0
205,Taxi/Private hire car,5.0,1.0,Heavy oil,2664.0
206,Car,11.0,1.0,Petrol,1597.0
207,Motorcycle over 500cc,3.0,1.0,Petrol,582.0
209,Motorcycle 125cc and under,9.0,1.0,Petrol,124.0
213,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,8268.0
217,Car,6.0,1.0,Petrol,1581.0
218,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,8268.0
219,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,8268.0
220,Goods 7.5 tonnes mgw and over,5.0,1.0,Heavy oil,-1.0
221,Goods 7.5 tonnes mgw and over,5.0,1.0,Heavy oil,-1.0
222,Car,1.0,1.0,Petrol,1598.0
223,Motorcycle over 500cc,4.0,1.0,Petrol,599.0
224,Motorcycle 125cc and under,4.0,1.0,Petrol,124.0
226,Car,10.0,1.0,Heavy oil,1753.0
227,Car,2.0,1.0,Heavy oil,1686.0
228,Car,2.0,1.0,Heavy oil,1686.0
231,Car,2.0,1.0,Petrol,1242.0
236,Car,2.0,1.0,Petrol,3199.0
237,Motorcycle 50cc and under,6.0,1.0,Petrol,49.0
239,Car,7.0,1.0,Petrol,1390.0
241,Motorcycle over 500cc,5.0,1.0,Petrol,599.0
