Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Car,11,1,Petrol,2259
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2402
Car,2,1,Petrol,1149
Motorcycle 125cc and under,4,1,Petrol,124
Car,3,1,Petrol,1995
Car,10,1,Petrol,1108
Motorcycle over 500cc,13,1,Petrol,800
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,1997
Car,6,1,Heavy oil,1997
Car,4,1,Petrol,3301
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,1997
Motorcycle over 125cc and up to 500cc,7,1,Petrol,499
Car,5,1,Petrol,2198
Car,11,1,Petrol,1597
Car,16,1,Petrol,1300
Car,5,1,Petrol,1796
Car,2,1,Heavy oil,1753
Van / Goods 3.5 tonnes mgw or under,5,1,Heavy oil,8970
Car,2,1,Heavy oil,1399
Motorcycle over 500cc,19,1,Petrol,1000
Car,11,1,Petrol,1493
Car,14,1,Petrol,954
Car,4,1,Petrol,1149
Car,7,1,Petrol,1391
Car,6,1,Petrol,1360
Car,1,1,Petrol,1796
Car,2,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,5,1,Heavy oil,1753
Motorcycle over 500cc,1,1,Petrol,582
Motorcycle over 500cc,8,1,Petrol,649
Car,2,1,Petrol,1240
Car,9,1,Petrol,1589
Goods 7.5 tonnes mgw and over,6,1,Heavy oil,12600
Car,7,1,Petrol,1995
Motorcycle 125cc and under,2,1,Petrol,124
Car,9,1,Petrol,1781
Motorcycle 125cc and under,3,1,Petrol,125
Car,7,1,Petrol,1360
Car,5,1,Petrol,1581
Car,8,1,Petrol,1120
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,2496
Car,17,1,Petrol,1993
Car,4,1,Petrol,1781
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Car,1,1,Petrol,1242
Bus or coach (17 or more pass seats),4,1,Heavy oil,5883
Car,17,1,Petrol,903
Car,11,1,Petrol,1124
Car,6,1,Petrol,1762
Car,5,1,Petrol,1796
Car,11,1,Petrol,1799
Car,15,1,Petrol,1590
Car,8,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,1870
Car,6,1,Petrol,998
Car,9,1,Petrol,1799
Car,2,1,Petrol,3246
Car,10,1,Petrol,1781
Car,9,1,Petrol,1043
Car,4,1,Petrol,1299
Motorcycle over 500cc,5,1,Petrol,742
Car,1,1,Petrol,1299
Car,10,1,Petrol,1390
Car,9,1,Petrol,1360
Car,2,1,Petrol,1242
Car,1,1,Petrol,2979
Car,6,1,Petrol,1799
Motorcycle 50cc and under,2,1,Petrol,49
Car,10,1,Petrol,1796
Van / Goods 3.5 tonnes mgw or under,8,1,Heavy oil,2299
Motorcycle over 500cc,6,1,Petrol,599
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2402
Car,10,1,Petrol,1108
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,2461
Car,7,1,Petrol,1390
Car,8,1,Petrol,1242
Car,13,1,Petrol,1392
Taxi/Private hire car,9,1,Heavy oil,2664
Car,11,1,Petrol,1119
Car,2,1,Petrol,1198
Car,13,1,Petrol,1389
Car,4,1,Heavy oil,1896
Car,14,1,Petrol,988
Motorcycle over 500cc,4,1,Petrol,599
Motorcycle over 500cc,4,1,Petrol,599
Car,8,1,Petrol,1493
Car,2,1,Petrol,1798
Motorcycle 125cc and under,9,1,Petrol,124
Motorcycle 125cc and under,5,1,Petrol,124
Car,2,1,Petrol,1198
Other vehicle,30,1,Petrol,1584
Car,1,1,Petrol,1298
Motorcycle over 500cc,4,1,Petrol,1157
Car,5,1,Heavy oil,2902
Car,9,1,Petrol,1799
Car,12,1,Petrol,2861
Car,13,1,Petrol,1390
Bus or coach (17 or more pass seats),5,1,Heavy oil,9600
Car,13,1,Heavy oil,1769
Car,13,1,Heavy oil,1769
Car,7,1,Petrol,2997
Car,13,1,Petrol,1596
Car,1,1,Petrol,1360
Car,2,1,Heavy oil,2496
Car,3,1,Petrol,998
Car,2,1,Petrol,1149
Car,11,1,Petrol,1998
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1998
Car,6,1,Petrol,3301
Car,1,1,Petrol,1364
Car,10,1,Petrol,1998
Car,12,1,Petrol,1391
Motorcycle 125cc and under,2,1,Petrol,124
Car,7,1,Petrol,1390
Car,6,1,Petrol,1242
Car,12,1,Petrol,1998
Car,1,1,Heavy oil,1995
Car,1,1,Petrol,1598
Car,4,1,Petrol,1999
Car,8,1,Petrol,1390
Car,4,1,Petrol,1199
Motorcycle 125cc and under,4,1,Petrol,124
Car,1,1,Petrol,1240
Van / Goods 3.5 tonnes mgw or under,7,1,Heavy oil,2496
Car,11,1,Petrol,1242
Motorcycle 125cc and under,5,1,Petrol,101
Car,10,1,Petrol,1996
Car,2,1,Petrol,1299
Car,11,1,Petrol,2000
Car,2,1,Petrol,1198
Car,1,1,Petrol,1598
Car,12,1,Petrol,1598
Car,13,1,Petrol,1587
Car,1,1,Petrol,1598
Car,7,1,Petrol,1781
Car,3,1,Heavy oil,1753
Car,5,1,Petrol,1948
Car,7,1,Petrol,1998
Car,12,1,Petrol,1324
Car,1,1,Petrol,1598
Car,16,1,Petrol,1590
Car,8,1,Petrol,1108
Car,9,1,Petrol,1998
Bus or coach (17 or more pass seats),2,1,Heavy oil,4250
Car,8,1,Petrol,1998
Car,18,1,Petrol,1997
Car,11,1,Petrol,1998
Car,7,1,Petrol,1390
