Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,6,1,Petrol,1762
Car,4,1,Petrol,1769
Motorcycle 125cc and under,10,1,Petrol,85
Motorcycle 125cc and under,2,1,Petrol,124
Car,16,1,Petrol,5343
Car,16,1,Petrol,5343
Car,13,1,Petrol,1998
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,6,1,Petrol,1988
Motorcycle 125cc and under,1,1,Petrol,124
Car,2,1,Petrol,1360
Car,2,1,Petrol,698
Motorcycle over 500cc,2,1,Petrol,1171
Motorcycle over 500cc,2,1,Petrol,1171
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Motorcycle over 500cc,6,1,Petrol,599
Motorcycle over 500cc,1,1,Petrol,599
Car,1,1,Petrol,1997
Motorcycle over 500cc,11,1,Petrol,740
Motorcycle 125cc and under,4,1,Petrol,120
Car,3,1,Petrol,1796
Car,3,1,Petrol,1796
Car,8,1,Petrol,1991
Motorcycle over 500cc,4,1,Petrol,645
Motorcycle 125cc and under,3,1,Petrol,124
Motorcycle over 125cc and up to 500cc,1,1,Petrol,244
Motorcycle 125cc and under,8,1,Petrol,124
Motorcycle 125cc and under,8,1,Petrol,124
Car,9,1,Petrol,1985
Car,9,1,Petrol,1597
Car,9,1,Petrol,1597
Car,8,1,Petrol,1596
Motorcycle 125cc and under,4,1,Petrol,100
Car,3,1,Petrol,1595
Motorcycle over 500cc,3,1,Petrol,599
Car,3,1,Petrol,1598
Taxi/Private hire car,3,1,Heavy oil,2664
Motorcycle over 500cc,1,1,Petrol,599
Car,7,1,Petrol,1840
Bus or coach (17 or more pass seats),5,1,Heavy oil,8300
Car,10,1,Petrol,1493
Car,10,1,Petrol,1994
Bus or coach (17 or more pass seats),41,1,Heavy oil,9640
Motorcycle over 500cc,7,1,Petrol,599
Taxi/Private hire car,12,1,Heavy oil,2664
Car,5,1,Petrol,1598
Car,8,1,Petrol,1998
Motorcycle over 500cc,7,1,Petrol,599
Car,4,1,Petrol,1124
Car,9,1,Petrol,1495
Motorcycle 125cc and under,7,1,Petrol,85
Motorcycle 125cc and under,7,1,Petrol,85
Car,8,1,Petrol,1998
Motorcycle 125cc and under,1,1,Petrol,124
Car,12,1,Petrol,1761
Car,9,1,Petrol,2799
Motorcycle 125cc and under,2,1,Petrol,125
Motorcycle 125cc and under,1,1,Petrol,124
Taxi/Private hire car,6,1,Heavy oil,2664
Car,8,1,Heavy oil,1905
Car,5,1,Petrol,1396
Motorcycle 125cc and under,1,1,Petrol,125
Motorcycle 125cc and under,1,1,Petrol,124
Motorcycle over 500cc,8,1,Petrol,749
Motorcycle 50cc and under,3,1,Petrol,49
Motorcycle 50cc and under,2,1,Petrol,49
Car,11,1,Petrol,1997
Car,11,1,Petrol,1997
Car,3,1,Petrol,1242
Car,3,1,Petrol,1242
Car,2,1,Heavy oil,1997
Motorcycle 50cc and under,5,1,Petrol,49
Car,1,1,Petrol,3246
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
